Net Name,Impedance Type,Net Length (mm),Via Count,Via Length (mm),Track Length (mm),Signal Layer,Reference Layer,Trace Width (mm),Trace Spacing (mm),Inner1 (mm),Inner2 (mm),In3.Cu (mm),In4.Cu (mm),Required Impedance
/ASIC_GR,none,89.7077,2,2.3521,87.3556,Inner 1,Top Layer,0.271,0,77.4337,0,0,0,N/A
/ASIC_PULSE,none,88.4982,2,2.3521,86.1461,Inner 1,Top Layer,0.271,0,76.6377,0,0,0,N/A
/ASIC_SACI_SEL,none,89.7384,2,2.3521,87.3863,Inner 1,Top Layer,0.271,0,75.7848,0,0,0,100+/-10
/ASIC_SampClkEn_N,Differential,91.1025,2,2.3521,88.7504,Inner 1,Top Layer,0.271,0.241,78.1715,0,0,0,100+/-10
/ASIC_SampClkEn_P,Differential,91.264,2,2.3521,88.9119,Inner 1,Top Layer,0.271,0.241,78.1715,0,0,0,100+/-10
/ASIC_SR0_N,Differential,94.1034,2,2.3521,91.7513,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.8057,100+/-10
/ASIC_SR0_P,Differential,93.9411,2,2.3521,91.589,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.8048,100+/-10
/ASIC{0123}_DM_SN_IO,none,87.4848,2,2.3521,85.1327,Inner 1,Top Layer,0.271,0,73.1085,0,0,0,N/A
/DATA_OUT_0_N,Differential,93.2258,2,2.3521,90.8737,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,78.5939,100+/-10
/DATA_OUT_0_P,Differential,92.7528,2,2.3521,90.4007,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,78.1209,100+/-10
/DATA_OUT_1_N,Differential,91.6156,2,2.3521,89.2635,Inner 1,Top Layer,0.271,0.241,78.0521,0,0,0,100+/-10
/DATA_OUT_1_P,Differential,91.6156,2,2.3521,89.2635,Inner 1,Top Layer,0.271,0.241,78.0521,0,0,0,100+/-10
/RD_CLK_0_N,Differential,92.0128,2,2.3521,89.6607,Inner 1,Top Layer,0.271,0.241,77.9987,0,0,0,100+/-10
/RD_CLK_0_P,Differential,91.6737,2,2.3521,89.3216,Inner 1,Top Layer,0.271,0.241,77.9987,0,0,0,100+/-10
/RD_CLK_N,Differential,92.9048,2,2.3521,90.5527,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.8566,100+/-10
/RD_CLK_P,Differential,92.8477,2,2.3521,90.4956,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.638,100+/-10
/SACI_CLK_N,Differential,93.4134,2,2.3521,91.0613,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.3057,100+/-10
/SACI_CLK_P,Differential,92.8445,2,2.3521,90.4924,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.0871,100+/-10
/SACI_CMD_N,Differential,93.5342,2,2.3521,91.1821,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.205,100+/-10
/SACI_CMD_P,Differential,93.3727,2,2.3521,91.0206,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.205,100+/-10
/SACI_RESP_N,Differential,93.4437,2,2.3521,91.0916,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,72.5228,100+/-10
/SACI_RESP_P,Differential,93.068,2,2.3521,90.7159,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,71.8852,100+/-10
/SER_CLK_0_N,Differential,91.4131,2,2.3521,89.061,Inner 1,Top Layer,0.271,0.241,78.8308,0,0,0,100+/-10
/SER_CLK_0_P,Differential,91.4131,2,2.3521,89.061,Inner 1,Top Layer,0.271,0.241,78.8308,0,0,0,100+/-10
/SER_CLK_1_N,Differential,92.0428,2,2.3521,89.6907,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.5641,100+/-10
/SER_CLK_1_P,Differential,91.8813,2,2.3521,89.5292,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.5641,100+/-10
/SPARE_HR{0}_N,none,92.2757,2,2.3521,89.9236,Inner 1,Top Layer,0.271,0,78.4674,0,0,0,N/A
/SPARE_HR{0}_P,Differential,92.2757,2,2.3521,89.9236,Inner 1,Top Layer,0.271,0.241,78.4674,0,0,0,100+/-10
/VDD1,none,0,0,0,0,0,4,0,0,0,0,0,0,
/VDD2,none,0,0,0,0,0,4,0,0,0,0,0,0,
/WORD_CLK_0_N,Differential,92.0156,2,2.3521,89.6635,Inner 1,Top Layer,0.271,0.241,79.0562,0,0,0,100+/-10
/WORD_CLK_0_P,Differential,92.0156,2,2.3521,89.6635,Inner 1,Top Layer,0.271,0.241,79.0562,0,0,0,100+/-10
/WORD_CLK_1_N,Differential,91.7512,2,2.3521,89.3991,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.8883,100+/-10
/WORD_CLK_1_P,Differential,91.6288,2,2.3521,89.2767,In4.Cu,Bottom Layer,0.271,0.241,0,0,0,77.6044,100+/-10
AGND,none,0,0,0,0,0,8,0,0,0,0,0,0,
DGND,none,0,0,0,0,0,112,0,0,0,0,0,0,
